scenario,sam_util,yh_util,yd_util,ys_util,gen_sam,gen_yh,gen_yd,gen_ys,gen_bd,SOx_total,NOx_total,dust_total,social_cost_krw,gen_cost_krw,total_cost_krw
S0_normal,0.5,0.816,0.9,0.45,20305.0,66582.0,5921.0,6083.0,7717.0,20446.0,27496.0,6438.0,73746097.0,7383472779.0,7457218876.0
S0_normal,0.576,0.857,0.675,0.645,23373.0,69964.0,4440.0,8718.0,111.0,21179.0,27332.0,6473.0,73790513.0,6957769305.0,7031559818.0
S0_normal,0.5,0.816,0.45,0.548,20305.0,66582.0,2960.0,7400.0,9359.0,20450.0,27573.0,6307.0,73812119.0,7459005097.0,7532817216.0
S0_normal,0.5,0.816,0.675,0.84,20305.0,66582.0,4440.0,11354.0,3925.0,20420.0,27608.0,6303.0,73867498.0,7167546093.0,7241413590.0
S0_normal,0.538,0.816,0.9,0.84,21839.0,66582.0,5921.0,11354.0,911.0,20485.0,27577.0,6359.0,73877191.0,7009159543.0,7083036734.0
S0_normal,0.5,0.816,0.562,0.548,20305.0,66582.0,3700.0,7400.0,8619.0,20451.0,27606.0,6320.0,73891598.0,7422001100.0,7495892698.0
S0_normal,0.5,0.816,0.788,0.45,20305.0,66582.0,5181.0,6083.0,8457.0,20446.0,27583.0,6393.0,73898077.0,7420476776.0,7494374853.0
S0_normal,0.5,0.816,0.788,0.548,20305.0,66582.0,5181.0,7400.0,7139.0,20447.0,27618.0,6319.0,73914857.0,7347993106.0,7421907962.0
S0_normal,0.5,0.816,0.788,0.645,20305.0,66582.0,5181.0,8718.0,5821.0,20434.0,27627.0,6314.0,73924429.0,7275509436.0,7349433865.0
S0_normal,0.5,0.816,0.45,0.645,20305.0,66582.0,2960.0,8718.0,8041.0,20437.0,27647.0,6302.0,73959476.0,7386521427.0,7460480903.0
S0_normal,0.5,0.816,0.9,0.84,20305.0,66582.0,5921.0,11354.0,2445.0,20423.0,27632.0,6359.0,73962980.0,7093538099.0,7167501079.0
S0_normal,0.538,0.816,0.675,0.742,21839.0,66582.0,4440.0,10036.0,3709.0,20486.0,27662.0,6303.0,74016282.0,7155651207.0,7229667489.0
S0_normal,0.5,0.816,0.562,0.645,20305.0,66582.0,3700.0,8718.0,7301.0,20437.0,27675.0,6315.0,74027863.0,7349517430.0,7423545292.0
S0_normal,0.5,0.816,0.45,0.84,20305.0,66582.0,2960.0,11354.0,5405.0,20426.0,27692.0,6302.0,74049195.0,7241554087.0,7315603282.0
S0_normal,0.538,0.816,0.45,0.742,21839.0,66582.0,2960.0,10036.0,5189.0,20491.0,27689.0,6302.0,74075060.0,7229659201.0,7303734261.0
S0_normal,0.5,0.816,0.562,0.84,20305.0,66582.0,3700.0,11354.0,4665.0,20426.0,27719.0,6315.0,74115955.0,7204550090.0,7278666044.0
S0_normal,0.5,0.691,0.45,0.45,20305.0,56437.0,2960.0,6083.0,20822.0,20252.0,27686.0,6524.0,74120128.0,8089449818.0,8163569946.0
S0_normal,0.538,0.816,0.9,0.45,21839.0,66582.0,5921.0,6083.0,6182.0,20508.0,27662.0,6438.0,74130911.0,7299094223.0,7373225134.0
S0_normal,0.538,0.816,0.9,0.742,21839.0,66582.0,5921.0,10036.0,2229.0,20488.0,27699.0,6359.0,74139801.0,7081643213.0,7155783014.0
S0_normal,0.538,0.816,0.788,0.742,21839.0,66582.0,5181.0,10036.0,2969.0,20488.0,27726.0,6314.0,74162875.0,7118647210.0,7192810085.0
S0_normal,0.538,0.816,0.675,0.645,21839.0,66582.0,4440.0,8718.0,5027.0,20494.0,27734.0,6303.0,74173963.0,7228134877.0,7302308840.0
S0_normal,0.538,0.816,0.675,0.548,21839.0,66582.0,4440.0,7400.0,6345.0,20507.0,27731.0,6308.0,74177607.0,7300618547.0,7374796154.0
S0_normal,0.538,0.816,0.9,0.548,21839.0,66582.0,5921.0,7400.0,4865.0,20510.0,27735.0,6364.0,74230966.0,7226610553.0,7300841519.0
S0_normal,0.538,0.816,0.675,0.45,21839.0,66582.0,4440.0,6083.0,7663.0,20506.0,27734.0,6382.0,74239316.0,7373102217.0,7447341533.0
S0_normal,0.538,0.816,0.45,0.45,21839.0,66582.0,2960.0,6083.0,9143.0,20511.0,27734.0,6381.0,74243150.0,7447110211.0,7521353361.0
S0_normal,0.538,0.816,0.562,0.742,21839.0,66582.0,3700.0,10036.0,4449.0,20491.0,27785.0,6315.0,74289162.0,7192655204.0,7266944366.0
S0_normal,0.5,0.774,0.675,0.742,20305.0,63201.0,4440.0,10036.0,8625.0,20423.0,27801.0,6330.0,74301773.0,7426016780.0,7500318553.0
S0_normal,0.5,0.816,0.788,0.84,20305.0,66582.0,5181.0,11354.0,3185.0,20423.0,27808.0,6314.0,74303442.0,7130542096.0,7204845537.0
S0_normal,0.538,0.816,0.788,0.84,21839.0,66582.0,5181.0,11354.0,1651.0,20485.0,27795.0,6314.0,74307344.0,7046163540.0,7120470884.0
S0_normal,0.576,0.857,0.675,0.548,23373.0,69964.0,4440.0,7400.0,1429.0,21192.0,27575.0,6478.0,74319216.0,7030252975.0,7104572191.0
S0_normal,0.5,0.691,0.675,0.45,20305.0,56437.0,4440.0,6083.0,19342.0,20246.0,27785.0,6525.0,74328677.0,8015441823.0,8089770500.0
S0_normal,0.538,0.816,0.45,0.645,21839.0,66582.0,2960.0,8718.0,6507.0,20499.0,27817.0,6302.0,74351662.0,7302142871.0,7376494533.0
S0_normal,0.538,0.816,0.788,0.45,21839.0,66582.0,5181.0,6083.0,6923.0,20508.0,27786.0,6393.0,74360041.0,7336098220.0,7410458261.0
S0_normal,0.576,0.857,0.9,0.45,23373.0,69964.0,5921.0,6083.0,1267.0,21193.0,27552.0,6609.0,74370447.0,7028728651.0,7103099097.0
S0_normal,0.576,0.857,0.562,0.645,23373.0,69964.0,3700.0,8718.0,851.0,21184.0,27599.0,6485.0,74372199.0,6994773302.0,7069145501.0
S0_normal,0.538,0.816,0.9,0.645,21839.0,66582.0,5921.0,8718.0,3547.0,20496.0,27808.0,6359.0,74376287.0,7154126883.0,7228503170.0
S0_normal,0.538,0.816,0.45,0.548,21839.0,66582.0,2960.0,7400.0,7825.0,20513.0,27824.0,6307.0,74378478.0,7374626541.0,7449005020.0
S0_normal,0.576,0.857,0.788,0.548,23373.0,69964.0,5181.0,7400.0,689.0,21194.0,27599.0,6489.0,74379375.0,6993248978.0,7067628353.0
S0_normal,0.538,0.816,0.562,0.548,21839.0,66582.0,3700.0,7400.0,7085.0,20513.0,27823.0,6320.0,74384816.0,7337622544.0,7412007361.0
S0_normal,0.5,0.691,0.562,0.45,20305.0,56437.0,3700.0,6083.0,20082.0,20252.0,27816.0,6537.0,74408449.0,8052445821.0,8126854270.0
S0_normal,0.5,0.774,0.9,0.742,20305.0,63201.0,5921.0,10036.0,7145.0,20426.0,27838.0,6386.0,74424740.0,7352008786.0,7426433526.0
S0_normal,0.538,0.816,0.788,0.548,21839.0,66582.0,5181.0,7400.0,5605.0,20509.0,27845.0,6319.0,74429112.0,7263614550.0,7338043662.0
S0_normal,0.538,0.816,0.562,0.45,21839.0,66582.0,3700.0,6083.0,8403.0,20511.0,27827.0,6394.0,74450308.0,7410106214.0,7484556522.0
S0_normal,0.538,0.816,0.675,0.84,21839.0,66582.0,4440.0,11354.0,2391.0,20483.0,27869.0,6303.0,74456199.0,7083167537.0,7157623736.0
S0_normal,0.5,0.816,0.45,0.45,20305.0,66582.0,2960.0,6083.0,10677.0,20449.0,27853.0,6381.0,74464733.0,7531488767.0,7605953500.0
S0_normal,0.5,0.691,0.45,0.548,20305.0,56437.0,2960.0,7400.0,19504.0,20253.0,27875.0,6450.0,74467839.0,8016966148.0,8091433987.0
S0_normal,0.538,0.816,0.562,0.645,21839.0,66582.0,3700.0,8718.0,5767.0,20500.0,27871.0,6315.0,74476660.0,7265138874.0,7339615534.0
S0_normal,0.576,0.857,0.45,0.645,23373.0,69964.0,2960.0,8718.0,1591.0,21184.0,27661.0,6473.0,74493271.0,7031777299.0,7106270570.0
S0_normal,0.576,0.857,0.675,0.45,23373.0,69964.0,4440.0,6083.0,2747.0,21191.0,27674.0,6552.0,74586654.0,7102736645.0,7177323299.0
S0_normal,0.538,0.816,0.788,0.645,21839.0,66582.0,5181.0,8718.0,4287.0,20496.0,27925.0,6314.0,74590155.0,7191130880.0,7265721035.0
S0_normal,0.5,0.774,0.562,0.742,20305.0,63201.0,3700.0,10036.0,9365.0,20429.0,27931.0,6342.0,74590387.0,7463020777.0,7537611164.0
S0_normal,0.538,0.816,0.45,0.84,21839.0,66582.0,2960.0,11354.0,3871.0,20488.0,27932.0,6302.0,74591775.0,7157175531.0,7231767306.0
S0_normal,0.5,0.774,0.788,0.742,20305.0,63201.0,5181.0,10036.0,7885.0,20425.0,27939.0,6341.0,74604516.0,7389012783.0,7463617298.0
S0_normal,0.5,0.774,0.9,0.645,20305.0,63201.0,5921.0,8718.0,8462.0,20434.0,27935.0,6386.0,74635373.0,7424492456.0,7499127829.0
S0_normal,0.5,0.691,0.675,0.548,20305.0,56437.0,4440.0,7400.0,18024.0,20248.0,27974.0,6451.0,74676388.0,7942958153.0,8017634541.0
S0_normal,0.576,0.857,0.45,0.45,23373.0,69964.0,2960.0,6083.0,4227.0,21196.0,27734.0,6552.0,74716303.0,7176744639.0,7251460942.0
S0_normal,0.576,0.857,0.45,0.548,23373.0,69964.0,2960.0,7400.0,2909.0,21197.0,27765.0,6478.0,74725817.0,7104260969.0,7178986786.0
S0_normal,0.5,0.774,0.788,0.645,20305.0,63201.0,5181.0,8718.0,9203.0,20434.0,27999.0,6341.0,74737296.0,7461496453.0,7536233749.0
S0_normal,0.5,0.816,0.562,0.45,20305.0,66582.0,3700.0,6083.0,9937.0,20449.0,27984.0,6394.0,74753054.0,7494484770.0,7569237824.0
S0_normal,0.5,0.691,0.562,0.548,20305.0,56437.0,3700.0,7400.0,18764.0,20254.0,28006.0,6463.0,74756160.0,7979962151.0,8054718311.0
S0_normal,0.5,0.691,0.9,0.45,20305.0,56437.0,5921.0,6083.0,17861.0,20249.0,27970.0,6581.0,74768284.0,7941433829.0,8016202113.0
S0_normal,0.5,0.774,0.9,0.84,20305.0,63201.0,5921.0,11354.0,5827.0,20423.0,28001.0,6386.0,74770631.0,7279525116.0,7354295746.0
S0_normal,0.5,0.691,0.788,0.45,20305.0,56437.0,5181.0,6083.0,18601.0,20249.0,27996.0,6536.0,74789044.0,7978437826.0,8053226870.0
S0_normal,0.538,0.774,0.675,0.742,21839.0,63201.0,4440.0,10036.0,7091.0,20486.0,28018.0,6330.0,74794991.0,7341638224.0,7416433215.0
S0_normal,0.5,0.774,0.675,0.84,20305.0,63201.0,4440.0,11354.0,7307.0,20420.0,28043.0,6330.0,74815052.0,7353533110.0,7428348161.0
S0_normal,0.5,0.65,0.9,0.45,20305.0,53056.0,5921.0,6083.0,21243.0,20249.0,27970.0,6674.0,74840099.0,8127420846.0,8202260945.0
S0_normal,0.576,0.816,0.9,0.742,23373.0,66582.0,5921.0,10036.0,695.0,21015.0,27846.0,6529.0,74847428.0,6997264658.0,7072112086.0
S0_normal,0.5,0.691,0.45,0.645,20305.0,56437.0,2960.0,8718.0,18186.0,20240.0,28060.0,6445.0,74850443.0,7944482478.0,8019332921.0
S0_normal,0.5,0.774,0.45,0.84,20305.0,63201.0,2960.0,11354.0,8787.0,20426.0,28059.0,6329.0,74852843.0,7427541104.0,7502393947.0
S0_normal,0.538,0.816,0.562,0.84,21839.0,66582.0,3700.0,11354.0,3131.0,20489.0,28051.0,6315.0,74855672.0,7120171534.0,7195027207.0
S0_normal,0.538,0.774,0.9,0.742,21839.0,63201.0,5921.0,10036.0,5610.0,20488.0,28045.0,6386.0,74898299.0,7267630230.0,7342528529.0
S0_normal,0.5,0.691,0.45,0.742,20305.0,56437.0,2960.0,10036.0,16868.0,20232.0,28099.0,6445.0,74930045.0,7871998808.0,7946928853.0
S0_normal,0.5,0.733,0.45,0.45,20305.0,59819.0,2960.0,6083.0,17440.0,20449.0,28052.0,6440.0,74935018.0,7903462801.0,7978397819.0
S0_normal,0.5,0.774,0.788,0.84,20305.0,63201.0,5181.0,11354.0,6567.0,20423.0,28096.0,6341.0,74937578.0,7316529113.0,7391466691.0
S0_normal,0.576,0.857,0.562,0.45,23373.0,69964.0,3700.0,6083.0,3487.0,21196.0,27853.0,6565.0,74980201.0,7139740642.0,7214720843.0
S0_normal,0.538,0.774,0.45,0.742,21839.0,63201.0,2960.0,10036.0,8571.0,20491.0,28113.0,6329.0,74999645.0,7415646218.0,7490645864.0
S0_normal,0.5,0.65,0.45,0.742,20305.0,53056.0,2960.0,10036.0,20250.0,20232.0,28099.0,6538.0,75001860.0,8057985825.0,8132987684.0
S0_normal,0.576,0.857,0.562,0.548,23373.0,69964.0,3700.0,7400.0,2169.0,21198.0,27894.0,6490.0,75011824.0,7067256972.0,7142268796.0
S0_normal,0.5,0.733,0.9,0.84,20305.0,59819.0,5921.0,11354.0,9208.0,20423.0,28104.0,6418.0,75014028.0,7465512132.0,7540526160.0
S0_normal,0.576,0.857,0.788,0.45,23373.0,69964.0,5181.0,6083.0,2007.0,21193.0,27885.0,6564.0,75044708.0,7065732648.0,7140777355.0
S0_normal,0.538,0.691,0.45,0.45,21839.0,56437.0,2960.0,6083.0,19288.0,20314.0,28109.0,6524.0,75052954.0,8005071262.0,8080124216.0
S0_normal,0.5,0.691,0.675,0.645,20305.0,56437.0,4440.0,8718.0,16706.0,20234.0,28159.0,6446.0,75058991.0,7870474484.0,7945533475.0
S0_normal,0.538,0.774,0.9,0.645,21839.0,63201.0,5921.0,8718.0,6928.0,20496.0,28137.0,6386.0,75097337.0,7340113900.0,7415211237.0
S0_normal,0.5,0.774,0.562,0.84,20305.0,63201.0,3700.0,11354.0,8047.0,20426.0,28178.0,6342.0,75114759.0,7390537107.0,7465651865.0
S0_normal,0.5,0.691,0.9,0.548,20305.0,56437.0,5921.0,7400.0,16543.0,20250.0,28160.0,6507.0,75115995.0,7868950159.0,7944066155.0
S0_normal,0.576,0.816,0.788,0.84,23373.0,66582.0,5181.0,11354.0,117.0,21012.0,27990.0,6484.0,75116708.0,6961784985.0,7036901693.0
S0_normal,0.538,0.774,0.788,0.742,21839.0,63201.0,5181.0,10036.0,6350.0,20488.0,28170.0,6341.0,75127921.0,7304634227.0,7379762148.0
S0_normal,0.538,0.774,0.675,0.645,21839.0,63201.0,4440.0,8718.0,8408.0,20494.0,28173.0,6330.0,75128592.0,7414121894.0,7489250486.0
S0_normal,0.5,0.65,0.675,0.645,20305.0,53056.0,4440.0,8718.0,20087.0,20234.0,28159.0,6539.0,75130806.0,8056461500.0,8131592306.0
S0_normal,0.5,0.691,0.788,0.548,20305.0,56437.0,5181.0,7400.0,17284.0,20250.0,28186.0,6462.0,75136755.0,7905954156.0,7981090912.0
S0_normal,0.5,0.691,0.675,0.742,20305.0,56437.0,4440.0,10036.0,15388.0,20226.0,28198.0,6446.0,75138593.0,7797990814.0,7873129407.0
S0_normal,0.5,0.691,0.562,0.645,20305.0,56437.0,3700.0,8718.0,17446.0,20240.0,28191.0,6458.0,75138764.0,7907478481.0,7982617245.0
S0_normal,0.5,0.733,0.675,0.45,20305.0,59819.0,4440.0,6083.0,15960.0,20443.0,28151.0,6441.0,75143566.0,7829454807.0,7904598373.0
S0_normal,0.538,0.774,0.562,0.742,21839.0,63201.0,3700.0,10036.0,7831.0,20491.0,28182.0,6342.0,75156746.0,7378642221.0,7453798968.0
