date,SOx,NOx,먼지,n_units,gen_mwh,utilization,heat_efficiency,temp_mean,humidity_mean,wind_speed_mean,wind_speed_max,wind_sin,wind_cos,precipitation,stagnation_idx,solar_radiation,유연탄,유류,우드펠릿,api_gen_mwh,gen_mwh_combined,coal_ratio,oil_ratio,biomass_ratio,renewable_ratio,solar_mwh,wind_mwh,is_coal,plant,month,dayofweek,year,season,seasonal_mgmt,SOx_lag1,SOx_lag7,NOx_lag1,NOx_lag7,먼지_lag1,먼지_lag7
2024-01-10,1168.276234752,4131.464014656,413.656125696,2.0,8313.935483870968,52.91817764189158,36.66892508497198,3.2,78.0,2.8055555555555554,4.75,-0.0871557427476583,0.9961946980917455,0.0,27.801980198019805,10.46,4433.967741935484,50.83870967741935,0.0,13624.0,13624.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,2,2024,winter,1,409.623166944,264.68052998400003,2462.320307088,1559.0530428480001,429.167861424,612.689589648
2024-01-11,1796.106232512,4661.330077008,417.59890977599997,2.0,8313.935483870968,52.91817764189158,36.66892508497198,2.3,70.0,3.944444444444444,6.055555555555555,-0.9396926207859084,0.342020143325669,0.0,17.746478873239436,12.15,4433.967741935484,50.83870967741935,0.0,14398.0,14398.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,3,2024,winter,1,1168.276234752,536.0071464000001,4131.464014656,1912.8756396959996,413.656125696,335.34372729599994
2024-01-12,802.7224722719999,2722.6988059679998,2127.1333392,2.0,8313.935483870968,52.91817764189158,36.66892508497198,5.4,64.0,3.861111111111111,5.666666666666666,-0.9135454576426012,0.4067366430757997,0.0,16.575539568345324,11.69,4433.967741935484,50.83870967741935,0.0,8852.0,8852.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,4,2024,winter,1,1796.106232512,575.138550528,4661.330077008,2088.546607872,417.59890977599997,241.12840838399998
2024-01-13,322.77307996800005,1772.7840146879998,217.28691331199997,2.0,8313.935483870968,52.91817764189158,36.66892508497198,3.7,51.0,3.416666666666667,5.388888888888888,-0.7431448254773946,0.6691306063588578,0.0,14.926829268292682,12.27,4433.967741935484,50.83870967741935,0.0,5382.0,5382.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,5,2024,winter,1,802.7224722719999,485.07650956799995,2722.6988059679998,1735.7775099839998,2127.1333392,201.164866704
2024-01-14,488.7013085279999,2237.08810104,240.916197888,2.0,8313.935483870968,52.91817764189158,36.66892508497198,5.4,84.0,2.833333333333333,6.722222222222221,-0.9945218953682734,0.1045284632676529,0.4,29.647058823529417,10.67,4433.967741935484,50.83870967741935,0.0,6273.0,6273.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,6,2024,winter,1,322.77307996800005,110.277132912,1772.7840146879998,1536.6353775839998,217.28691331199997,193.21784366400001
2024-01-15,308.279985696,2218.9108730400003,243.377122896,2.0,8313.935483870968,52.91817764189158,36.66892508497198,2.0,52.0,4.75,6.527777777777778,-0.6560590289905074,0.7547095802227719,0.0,10.947368421052632,12.7,4433.967741935484,50.83870967741935,0.0,6313.0,6313.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,0,2024,winter,1,488.7013085279999,142.84110959999998,2237.08810104,1374.075408384,240.916197888,284.153826096
2024-01-16,232.40342160000003,2509.173072,254.498832,2.0,8313.935483870968,52.91817764189158,36.66892508497198,1.9,58.0,1.972222222222222,3.3055555555555554,0.5877852522924731,0.8090169943749475,0.0,29.408450704225356,11.43,4433.967741935484,50.83870967741935,0.0,6917.0,6917.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,1,2024,winter,1,308.279985696,409.623166944,2218.9108730400003,2462.320307088,243.377122896,429.167861424
2024-01-17,83.15709969599999,2186.4101929920002,231.40167695999997,2.0,8313.935483870968,52.91817764189158,36.66892508497198,5.7,79.0,1.7222222222222223,3.416666666666667,0.838670567945424,0.5446390350150271,0.0,45.87096774193548,4.1,4433.967741935484,50.83870967741935,0.0,6288.0,6288.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,2,2024,winter,1,232.40342160000003,1168.276234752,2509.173072,4131.464014656,254.498832,413.656125696
2024-01-18,872.3843583839999,2182.683892752,270.50758257599995,2.0,8313.935483870968,52.91817764189158,36.66892508497198,9.1,95.0,3.9166666666666665,7.611111111111111,-0.2588190451025207,0.9659258262890684,6.2,24.25531914893617,2.09,4433.967741935484,50.83870967741935,0.0,6516.0,6516.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,3,2024,winter,1,83.15709969599999,1796.106232512,2186.4101929920002,4661.330077008,231.40167695999997,417.59890977599997
2024-01-19,822.4491805920001,2601.5914654559997,332.497682064,2.0,8313.935483870968,52.91817764189158,36.66892508497198,6.5,77.0,7.444444444444445,8.38888888888889,0.788010753606722,0.6156614753256583,1.2,10.343283582089551,3.1,4433.967741935484,50.83870967741935,0.0,7483.0,7483.0,0.9886642355192082,0.011335764480791776,0.0,0.0,0.0,0.0,1,여수,1,4,2024,winter,1,872.3843583839999,802.7224722719999,2182.683892752,2722.6988059679998,270.50758257599995,2127.1333392
