date,SOx,NOx,먼지,SOx_conc,NOx_conc,dust_conc,n_units,temp_mean,humidity_mean,wind_dir,wind_speed_mean,precipitation,wind_sin,wind_cos,stagnation_idx,유연탄,LNG,oil_ton,coal_ratio,lng_ratio,gen_mwh,heat_efficiency,utilization,api_gen_mwh,solar_mwh,wind_mwh,wind_speed_max,pressure_mean,solar_radiation,renewable_mwh,renewable_ratio,month,dayofweek,season,year,plant_type,is_coal
2022-05-26,406989.51968448,936092.5686288,160284.14163648,13.7325,19.32375,36.17,8,20.8,47.01,273.45,4.23,0.0,-0.9981876932544916,0.060177479469293,11.113475177304965,11586.935483870968,0.0,26.032258064516128,1.0,0.0,26654.870967741936,36.81,52.1275,32514.0,72.88877099999999,2.1866399999999997,15.5843,1001.2664,26.13,75.07541099999999,0.0028086629855608,5,3,spring,2022,samcheonpo_coal,1
2022-05-27,425465.34369696,919828.36103904,179544.71618208,14.30125,28.41375,110.18875,8,21.53,59.22,321.73,6.89,0.0,-0.6193680389092173,0.7851007784849983,8.595065312046444,11586.935483870968,0.0,26.032258064516128,1.0,0.0,26654.870967741936,36.81,52.1275,32517.0,77.83268799999999,3.26808,19.13426,999.1181,27.62,81.10076799999999,0.003033395187637,5,4,spring,2022,samcheonpo_coal,1
2022-05-28,377615.0108448,634891.8063139201,381623.86302624,16.59,24.35125,269.03499999999997,8,18.66,64.14,133.11,0.98,0.0,0.7300430117299177,-0.6834012006313065,65.44897959183673,11586.935483870968,0.0,26.032258064516128,1.0,0.0,26654.870967741936,36.81,52.1275,24711.0,61.306861000000005,0.6739200000000002,13.363711,1003.30804,25.46,61.98078100000001,0.0023199133484325,5,5,spring,2022,samcheonpo_coal,1
2022-05-29,309947.34599423996,557680.0731350399,133736.6324592,18.9375,25.625,224.03625,8,20.3,69.16,291.22,1.25,0.0,-0.932197513629581,0.3619499904445739,55.328,11586.935483870968,0.0,26.032258064516128,1.0,0.0,26654.870967741936,36.81,52.1275,22314.0,77.82682599999998,0.2052,10.514218,1003.2343,27.07,78.03202599999999,0.0029189507034932,5,6,spring,2022,samcheonpo_coal,1
2022-05-30,464251.450104,1024128.52788384,277228.93349952,14.74,27.34875,232.57375,8,21.06,75.39,335.34,6.71,0.0,-0.4172327136617654,0.90879968235604,11.235469448584205,11586.935483870968,0.0,26.032258064516128,1.0,0.0,26654.870967741936,36.81,52.1275,29577.0,51.276724,0.7524000000000001,9.290511,998.39496,11.25,52.029124,0.0019481528676586,5,0,spring,2022,samcheonpo_coal,1
2022-05-31,589156.94581344,925248.36774528,182401.94448288,18.30625,22.52125,317.17125,8,18.32,63.65,83.81,1.68,0.0,0.9941697982739056,0.1078258419861475,37.88690476190476,11586.935483870968,0.0,26.032258064516128,1.0,0.0,26654.870967741936,36.81,52.1275,32539.0,79.554771,2.669039999999999,14.759999,1004.0695,28.09,82.223811,0.0030752709552189,5,1,spring,2022,samcheonpo_coal,1
2022-06-01,309574.66396608,540463.41474624,754235.671392,10.9625,21.825,382.66125,8,18.34,82.33,85.7,1.63,0.0,0.9971851335251156,0.0749787268263277,50.50920245398773,12683.433333333332,0.0,34.06666666666667,1.0,0.0,28677.566666666666,36.25,56.459999999999994,25859.0,72.446347,0.41544,11.27553,1004.0803,25.04,72.861787,0.0025342852583022,6,2,summer,2022,samcheonpo_coal,1
2022-06-02,245274.91284672,700161.14898144,939853.96943904,13.7175,23.20375,266.76125,8,18.81,90.33,77.58,1.51,0.0,0.9765972620638246,0.2150762370171134,59.82119205298013,12683.433333333332,0.0,34.06666666666667,1.0,0.0,28677.566666666666,36.25,56.459999999999994,26640.0,77.88607800000001,0.8215200000000001,10.829958,1003.88947,27.91,78.70759800000002,0.002737058259898,6,3,summer,2022,samcheonpo_coal,1
2022-06-03,363007.96756704,590007.6478425601,1410862.26950784,17.08625,20.43625,139.05124999999998,8,18.98,84.33,124.75,1.14,0.0,0.8216469379421637,-0.569996762596303,73.97368421052632,12683.433333333332,0.0,34.06666666666667,1.0,0.0,28677.566666666666,36.25,56.459999999999994,26161.0,75.21291300000001,0.87624,11.966954,1006.3035,27.04,76.08915300000001,0.0026462427413475,6,4,summer,2022,samcheonpo_coal,1
2022-06-04,269217.08995104,459711.69673248,95867.53343712,11.27875,15.1075,90.855,8,20.76,56.24,127.12,2.45,0.0,0.7973733209287036,-0.6034863603024767,22.955102040816325,12683.433333333332,0.0,34.06666666666667,1.0,0.0,28677.566666666666,36.25,56.459999999999994,22660.0,62.46532600000001,0.5392800000000001,13.202726,1008.17285,20.1,63.00460600000001,0.0021921834956676,6,5,summer,2022,samcheonpo_coal,1
