date,SOx,NOx,먼지,SOx_conc,NOx_conc,dust_conc,n_units,temp_mean,humidity_mean,wind_dir,wind_speed_mean,precipitation,wind_sin,wind_cos,stagnation_idx,유연탄,LNG,oil_ton,coal_ratio,lng_ratio,gen_mwh,heat_efficiency,utilization,api_gen_mwh,renewable_mwh,wind_speed_max,pressure_mean,solar_radiation,solar_mwh,wind_mwh,renewable_ratio,dayofweek,season,plant_type,is_coal,hydro_mwh,gen_mwh_combined
2025-10-21,12881.541030768,10017.933862752,2425.06428336,19.18,6.051666666666667,63.695,6,7.006,58.760000000000005,137.506,0.1,0.0,0.6755129964092975,-0.7373480804085222,587.6,18462.8064516129,0.0,76.54838709677419,1.0,0.0,45803.42967741935,18.895,78.43651253027737,55774.193,102.786497,32.561596,1026.9183,14.19,23.845008,27.673325,0.0022390540010848,1,autumn,yeongheung_coal,1,51.268164000000006,55774.193
2025-10-22,11288.450820096,9813.369598848,2097.557712864,17.688333333333336,5.845,62.78666666666667,6,11.476,67.362,159.638,0.1659999999999999,0.0,0.3479503417486451,-0.9375129650714176,405.79518072289176,18462.8064516129,0.0,76.54838709677419,1.0,0.0,45803.42967741935,18.895,78.43651253027737,55301.564,107.079273,18.345877,1025.9662,14.16,24.151877999999996,32.579174,0.0023323477662954,2,autumn,yeongheung_coal,1,50.348221,55301.564
2025-10-23,11451.523496544,9781.153586208,2018.177320464,17.341666666666665,5.668333333333333,64.17999999999999,6,11.276,64.72,131.938,0.47,0.0,0.7438684592404727,-0.6683260546673347,137.70212765957447,18462.8064516129,0.0,76.54838709677419,1.0,0.0,45803.42967741935,18.895,78.43651253027737,54231.714,116.995874,22.553936,1024.5103,12.23,36.599396,30.728738,0.002547795944726,3,autumn,yeongheung_coal,1,49.66774,54231.714
2025-10-24,9346.047919488,7372.797485616,18410.345202095996,16.513333333333332,5.038333333333333,101.72,6,11.172,70.428,195.624,0.22,0.0,-0.2693232456037232,-0.9630498374318311,320.1272727272727,18462.8064516129,0.0,76.54838709677419,1.0,0.0,45803.42967741935,18.895,78.43651253027737,39823.956,112.67592,23.469128,1023.14874,13.23,39.90483,22.389974,0.0024539520182289,4,autumn,yeongheung_coal,1,50.381116,39823.956
2025-10-25,8799.72096456,7254.052442928001,1268.953913664,15.831666666666663,4.06,75.52,6,11.734,48.316,212.634,0.444,0.0,-0.5392706114328124,-0.8421325356764697,108.81981981981984,18462.8064516129,0.0,76.54838709677419,1.0,0.0,45803.42967741935,18.895,78.43651253027737,36591.101,119.17184,23.966375,1019.2725,13.65,43.304691,31.723132,0.0025950585564015,5,autumn,yeongheung_coal,1,44.144017,36591.101
2025-10-26,9152.506402128,7351.896594816001,1677.1112940960002,15.975,3.9683333333333337,66.97666666666667,6,10.512,46.434,197.412,1.818,0.0,-0.2992406413229816,-0.954177676630831,25.54125412541254,18462.8064516129,0.0,76.54838709677419,1.0,0.0,45803.42967741935,18.895,78.43651253027737,36704.356,114.16321200000002,41.23847,1016.03516,4.51,7.334480999999999,57.57565,0.0024862629945548,6,autumn,yeongheung_coal,1,49.25308100000001,36704.356
2025-10-27,8498.174317776,7064.442247824,3167.4313663200005,15.42,4.026666666666666,71.14166666666667,6,7.308,43.522000000000006,164.43800000000002,0.298,0.0,0.2682809679126883,-0.9633407093317664,146.04697986577185,18462.8064516129,0.0,76.54838709677419,1.0,0.0,45803.42967741935,18.895,78.43651253027737,35647.39,289.53829399999995,45.834656,1019.5452,14.06,41.851979,195.45802,0.006281615325347,0,autumn,yeongheung_coal,1,52.228295,35647.39
2025-10-28,9094.20373656,7175.866594896,1966.822056432,15.726666666666668,4.548333333333333,69.23833333333333,6,7.974000000000001,60.59,102.642,0.178,0.0,0.9757565924032808,-0.2188585670736649,340.3932584269663,18462.8064516129,0.0,76.54838709677419,1.0,0.0,45803.42967741935,18.895,78.43651253027737,36305.892,101.996624,31.205997,1024.7402,14.71,41.755610999999995,7.954454,0.0022218859994955,1,autumn,yeongheung_coal,1,52.286559,36305.892
2025-10-29,9139.112238816002,7195.988441087999,1060.834411296,16.73,4.378333333333333,65.88166666666667,6,7.796000000000001,67.33,228.17,0.13,0.0,-0.7451269019252527,-0.666922709185461,517.9230769230769,18462.8064516129,0.0,76.54838709677419,1.0,0.0,45803.42967741935,18.895,78.43651253027737,36259.757,133.91236700000002,24.162947,1026.1068,12.77,40.538707,39.314508,0.0029151091691485,2,autumn,yeongheung_coal,1,54.059152000000005,36259.757
2025-10-30,9110.909075328,7292.435158799999,1109.58064704,17.25,4.541666666666667,68.38,6,8.906,74.06,211.098,0.088,0.0,-0.5165034391921527,-0.8562851144932266,740.6,18462.8064516129,0.0,76.54838709677419,1.0,0.0,45803.42967741935,18.895,78.43651253027737,36716.942,93.94236,17.917007,1022.86786,10.97,20.913927,21.927714999999996,0.0020467916969932,3,autumn,yeongheung_coal,1,51.100718,36716.942
2025-10-31,9033.972141743998,7315.232804784,971.709444,17.201666666666664,4.801666666666667,70.14166666666667,6,9.096,76.16,140.958,0.126,0.0,0.6298898996611352,-0.7766844367597983,604.4444444444445,18462.8064516129,0.0,76.54838709677419,1.0,0.0,45803.42967741935,18.895,78.43651253027737,36549.167,78.679782,20.617662,1015.3156,8.99,26.791936,16.496262,0.0017148248615201,4,autumn,yeongheung_coal,1,35.391584,36549.167
2025-11-01,8929.78394256,7357.595782752001,1197.6247321919998,17.151666666666667,4.1033333333333335,67.25,6,11.026,61.9,185.284,0.422,0.0,-0.0920925250577234,-0.9957504540940428,146.6824644549763,19479.733333333337,0.0,94.23333333333332,1.0,0.0,47467.628333333334,19.084999999999997,80.1072052194729,36788.242,231.820506,38.592266,1010.46265,13.54,41.345278,171.243668,0.0048600248355247,5,autumn,yeongheung_coal,1,19.23156,36788.242
2025-11-02,9215.186439312,7218.393276959998,2769.621454224,17.228333333333335,3.8666666666666663,69.46333333333332,6,3.79,36.886,186.854,0.584,0.0,-0.1193397635246038,-0.9928534740040404,63.1609589041096,19479.733333333337,0.0,94.23333333333332,1.0,0.0,47467.628333333334,19.084999999999997,80.1072052194729,36687.573,375.762833,43.322826,1016.48175,11.7,39.288246,319.815947,0.007854017531776,6,autumn,yeongheung_coal,1,16.65864,36687.573
