date,SOx,NOx,먼지,n_units,gen_mwh,utilization,heat_efficiency,temp_mean,humidity_mean,wind_speed_mean,wind_speed_max,wind_sin,wind_cos,precipitation,stagnation_idx,solar_radiation,유연탄,무연탄,유류,우드펠릿,api_gen_mwh,gen_mwh_combined,coal_ratio,biomass_ratio,oil_ratio,renewable_ratio,solar_mwh,wind_mwh,is_coal,plant,month,dayofweek,year,season,seasonal_mgmt,SOx_lag1,SOx_lag7,NOx_lag1,NOx_lag7,먼지_lag1,먼지_lag7
2023-04-05,60.7840128,3800.345977728,425.304537408,2.0,5417.733333333334,69.5938820663008,35.67,12.58,90.92,0.61,10.11111111111111,0.34578954544097623,0.9383120964070126,11.0,149.04918032786887,5.94,0.0,0.0,7.1,3182.0,6064.0,6064.0,0.0,0.9977736665516918,0.0022263334483083002,0.0,0.0,0.0,1,영동,4,2,2023,spring,0,66.87427824000001,70.20128376,4373.283027024,3637.88701776,431.880843888,398.09861553599995
2023-04-06,57.22401167999999,4015.038187296,425.3278284,2.0,5417.733333333334,69.5938820663008,35.67,12.55,65.61,4.12,4.277777777777778,-0.9953961983671787,-0.09584575252022441,11.0,15.924757281553397,16.74,0.0,0.0,7.1,3182.0,6084.0,6084.0,0.0,0.9977736665516918,0.0022263334483083002,0.0,0.0,0.0,1,영동,4,3,2023,spring,0,60.7840128,70.692303168,3800.345977728,3861.5905249919997,425.304537408,415.878882912
2023-04-07,61.946311679999994,3797.591387471999,415.9425204,2.0,5417.733333333334,69.5938820663008,35.67,9.26,30.5,7.17,4.888888888888889,-0.9881213363678919,0.1536757125069914,0.0,4.253835425383542,22.31,0.0,0.0,7.1,3182.0,6042.0,6042.0,0.0,0.9977736665516918,0.0022263334483083002,0.0,0.0,0.0,1,영동,4,4,2023,spring,0,57.22401167999999,74.87786951999999,4015.038187296,3874.1149271520007,425.3278284,439.78649212799996
2023-04-08,67.44437928,4047.1013354400006,411.2956913759999,2.0,5417.733333333334,69.5938820663008,35.67,11.06,33.68,2.69,9.138888888888888,-0.9999834136273441,-0.005759554687996382,0.0,12.520446096654275,23.49,0.0,0.0,7.1,3182.0,6054.0,6054.0,0.0,0.9977736665516918,0.0022263334483083002,0.0,0.0,0.0,1,영동,4,5,2023,spring,0,61.946311679999994,68.01875683200001,3797.591387471999,4410.272383056001,415.9425204,434.268043056
2023-04-09,127.185399216,3642.2121363840006,1839.7367992799998,2.0,5417.733333333334,69.5938820663008,35.67,14.43,26.81,4.36,4.111111111111112,-0.9998320843468308,0.018324931396103247,0.0,6.149082568807339,23.94,0.0,0.0,7.1,3182.0,3988.0,3988.0,0.0,0.9977736665516918,0.0022263334483083002,0.0,0.0,0.0,1,영동,4,6,2023,spring,0,67.44437928,68.77032033600001,4047.1013354400006,3711.167349984,411.2956913759999,432.710138304
2023-04-10,12.756763008,2279.004985728,324.221336064,2.0,5417.733333333334,69.5938820663008,35.67,20.86,23.8,4.21,4.138888888888889,-0.0798509779830593,-0.9968068124341591,0.0,5.653206650831354,22.41,0.0,0.0,7.1,3182.0,2070.0,2070.0,0.0,0.9977736665516918,0.0022263334483083002,0.0,0.0,0.0,1,영동,4,0,2023,spring,0,127.185399216,66.892440384,3642.2121363840006,4531.390308288001,1839.7367992799998,431.852493888
2023-04-11,137.16844531200002,5228.745127344,1977.764915664,2.0,5417.733333333334,69.5938820663008,35.67,14.57,31.47,6.3,16.194444444444443,-0.9945401238792068,0.10435488486090208,1.0,4.995238095238095,18.82,0.0,0.0,7.1,3182.0,3444.0,3444.0,0.0,0.9977736665516918,0.0022263334483083002,0.0,0.0,0.0,1,영동,4,1,2023,spring,0,12.756763008,66.87427824000001,2279.004985728,4373.283027024,324.221336064,431.880843888
2023-04-12,61.55387827199999,1793.8444999680003,359.91269452800003,2.0,5417.733333333334,69.5938820663008,35.67,13.84,19.28,3.6,10.638888888888888,-0.9982294618048926,-0.0594805983890084,0.0,5.355555555555556,24.63,0.0,0.0,7.1,3182.0,3598.0,3598.0,0.0,0.9977736665516918,0.0022263334483083002,0.0,0.0,0.0,1,영동,4,2,2023,spring,0,137.16844531200002,60.7840128,5228.745127344,3800.345977728,1977.764915664,425.304537408
2023-04-13,68.304004704,1420.786303632,356.68397966400005,2.0,5417.733333333334,69.5938820663008,35.67,17.91,21.12,2.76,5.305555555555556,-0.8902922986372257,-0.45538952885111994,0.0,7.652173913043479,19.36,0.0,0.0,7.1,3182.0,3604.0,3604.0,0.0,0.9977736665516918,0.0022263334483083002,0.0,0.0,0.0,1,영동,4,3,2023,spring,0,61.55387827199999,57.22401167999999,1793.8444999680003,4015.038187296,359.91269452800003,425.3278284
2023-04-14,58.646815200000006,3848.02577064,835.314234336,2.0,5417.733333333334,69.5938820663008,35.67,11.96,75.62,2.38,4.527777777777778,-0.9324499752006159,-0.3612991056567547,0.0,31.773109243697483,19.09,0.0,0.0,7.1,3182.0,4879.0,4879.0,0.0,0.9977736665516918,0.0022263334483083002,0.0,0.0,0.0,1,영동,4,4,2023,spring,0,68.304004704,61.946311679999994,1420.786303632,3797.591387471999,356.68397966400005,415.9425204
